date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover,Volume,BuyAmount,SellAmount,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseLimit,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleCashRepayment,ShortSaleLimit,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,Dealer_Hedging_buy,Dealer_self_buy,Foreign_Investor_buy,Investment_Trust_buy,Dealer_Hedging_sell,Dealer_self_sell,Foreign_Investor_sell,Investment_Trust_sell
2017-06-23,2330,39686091,8627393668,218.0,218.5,217.0,217.0,-1.0,14539,598000.0,130155500.0,129898000.0,2233.0,8.0,6482595.0,747.0,11028.0,9550.0,0.0,0.0,0.0,6482595.0,0.0,0.0,0.0,3673000.0,3534000.0,10471352.0,125000.0,42000.0,42000.0,24960897.0,79000.0
2017-06-26,2330,60140797,12848925735,212.0,215.0,212.0,215.0,0.0,20653,2720000.0,578506500.0,582043500.0,1416.0,0.0,6482595.0,1420.0,11024.0,11028.0,114.0,0.0,0.0,6482595.0,697.0,697.0,0.0,66000.0,492000.0,33549576.0,72000.0,4701000.0,3062000.0,19005025.0,66000.0
2017-06-27,2330,44504785,9437315205,214.0,214.0,211.0,211.5,-3.5,17122,1081000.0,229995500.0,229057000.0,2571.0,3.0,6482595.0,684.0,12908.0,11024.0,15.0,281.0,0.0,6482595.0,55.0,471.0,697.0,1543000.0,2222000.0,16257858.0,0.0,380000.0,176000.0,31801000.0,183000.0
2017-06-28,2330,52273921,10919812400,209.5,210.0,208.0,208.5,-3.0,15953,1575000.0,329146500.0,329230000.0,1291.0,15.0,6482595.0,430.0,13754.0,12908.0,11.0,116.0,0.0,6482595.0,440.0,795.0,471.0,142000.0,1300000.0,25723019.0,8000.0,630000.0,684000.0,39639173.0,266456.0
2017-06-29,2330,27049234,5678566197,210.5,210.5,208.5,210.0,1.5,8431,973000.0,204200000.0,204226500.0,409.0,3.0,6482595.0,499.0,13661.0,13754.0,4.0,22.0,0.0,6482595.0,256.0,1029.0,795.0,111000.0,78000.0,17014385.0,0.0,221000.0,863000.0,18352575.0,120000.0
2017-06-30,2330,31709978,6580047422,206.5,208.5,206.5,208.5,-1.5,9805,1758000.0,363702000.0,365270000.0,742.0,8.0,6482595.0,213.0,14182.0,13661.0,10.0,98.0,0.0,6482595.0,71.0,1002.0,1029.0,121000.0,264000.0,18204862.0,58000.0,124000.0,615000.0,23555842.0,86000.0
2017-07-03,2330,21066605,4382736445,207.5,209.0,207.0,209.0,0.5,7037,1664000.0,345339000.0,346589500.0,423.0,13.0,6482595.0,469.0,14123.0,14182.0,2.0,55.0,0.0,6482595.0,105.0,1052.0,1002.0,777000.0,124000.0,15397545.0,20000.0,58000.0,129000.0,15087641.0,570000.0
2017-07-04,2330,21592272,4476915676,208.0,208.5,207.0,207.0,-2.0,8990,579000.0,120197000.0,120011000.0,904.0,24.0,6482595.0,181.0,14822.0,14123.0,0.0,242.0,0.0,6482595.0,45.0,855.0,1052.0,142000.0,236000.0,11939700.0,10000.0,126000.0,493000.0,18906637.0,380000.0
2017-07-05,2330,23463030,4868199460,207.0,208.5,206.5,208.5,1.5,7278,1541000.0,318805500.0,320222000.0,803.0,7.0,6482595.0,298.0,15320.0,14822.0,1.0,421.0,0.0,6482595.0,117.0,551.0,855.0,549000.0,2103000.0,10788275.0,218000.0,95000.0,402000.0,19111080.0,137000.0
2017-07-06,2330,15260726,3166474008,208.0,208.5,207.0,207.5,-1.0,4473,609000.0,126377000.0,126361000.0,251.0,46.0,6482595.0,394.0,15131.0,15320.0,0.0,46.0,0.0,6482595.0,13.0,518.0,551.0,39000.0,336000.0,6654154.0,128000.0,455000.0,310000.0,12139857.0,327000.0
